,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 108,17 B","R$ 83,55 B","R$ 8,09",3.549.302.000,6.778.847.000,6.778.847.000,10.328.149.000,0,1.253.000,1.253.000,1.253.000,3.549.302.000,6.777.594.000,10.326.896.000
1,31/03/2024,"R$ 103,97 B","R$ 80,44 B","R$ 7,79",3.549.302.000,6.778.847.000,6.778.847.000,10.328.149.000,0,1.500.000,1.500.000,1.500.000,3.549.302.000,6.777.347.000,10.326.649.000
2,31/12/2023,"R$ 105,35 B","R$ 82,95 B","R$ 8,03",3.549.302.000,6.778.847.000,6.778.847.000,10.328.149.000,0,0,0,0,3.549.302.000,6.778.847.000,10.328.149.000
3,30/09/2023,"R$ 102,82 B","R$ 79,74 B","R$ 8,22",3.333.921.000,6.367.489.000,6.367.489.000,9.701.410.000,0,0,0,0,3.333.921.000,6.367.489.000,9.701.410.000
4,30/06/2023,"R$ 102,33 B","R$ 76,87 B","R$ 7,92",3.333.921.000,6.367.489.000,6.367.489.000,9.701.410.000,0,0,0,0,3.333.921.000,6.367.489.000,9.701.410.000
5,31/03/2023,"R$ 97,88 B","R$ 73,63 B","R$ 7,59",3.333.921.000,6.367.489.000,6.367.489.000,9.701.410.000,0,0,0,0,3.333.921.000,6.367.489.000,9.701.410.000
6,31/12/2022,"R$ 96,64 B","R$ 72,80 B","R$ 7,50",3.333.921.000,6.367.489.000,6.367.489.000,9.701.410.000,0,0,0,0,3.333.921.000,6.367.489.000,9.701.410.000
7,30/09/2022,"R$ 95,94 B","R$ 70,83 B","R$ 8,02",3.034.330.000,5.797.026.000,5.797.026.000,8.831.356.000,3.492.000,8.400.000,8.400.000,11.892.000,3.030.838.000,5.788.626.000,8.819.464.000
8,30/06/2022,"R$ 89,07 B","R$ 67,50 B","R$ 7,64",3.034.330.000,5.797.026.000,5.797.026.000,8.831.356.000,3.492.000,8.400.000,8.400.000,11.892.000,3.030.838.000,5.788.626.000,8.819.464.000
9,31/03/2022,"R$ 85,93 B","R$ 65,56 B","R$ 7,42",3.034.330.000,5.797.026.000,5.797.026.000,8.831.356.000,3.492.000,8.400.000,8.400.000,11.892.000,3.030.838.000,5.788.626.000,8.819.464.000
10,31/12/2021,"R$ 85,98 B","R$ 65,89 B","R$ 7,46",3.034.330.000,5.797.026.000,5.797.026.000,8.831.356.000,0,8.400.000,8.400.000,8.400.000,3.034.330.000,5.788.626.000,8.822.956.000
11,30/09/2021,"R$ 81,01 B","R$ 62,60 B","R$ 7,44",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,8.000.000,8.000.000,8.000.000,2.889.838.000,5.512.977.000,8.402.815.000
12,30/06/2021,"R$ 79,28 B","R$ 61,11 B","R$ 7,27",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000
13,31/03/2021,"R$ 73,30 B","R$ 58,70 B","R$ 6,98",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000
