,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"5,930000",28/04/2005,--,10/05/2005,189
1,Dividendo,"0,004200",18/12/2013,19/12/2013,30/12/2013,189
2,Dividendo,"0,004800",30/04/2013,03/05/2013,05/12/2013,189
3,Dividendo,"0,004200",27/04/2012,28/05/2012,20/12/2012,189
4,Dividendo,"0,000300",29/04/2010,28/05/2010,15/12/2010,189
5,Dividendo,"3,600000",27/04/2007,17/05/2007,14/12/2007,189
6,JCP,"2,150000",27/04/2006,28/04/2006,31/07/2006,189
7,Dividendo,"4,300000",05/12/2005,14/12/2005,15/12/2005,189
8,JCP,"15,050000",22/08/2005,30/08/2005,31/08/2005,189
9,Dividendo,"2,600000",22/08/2005,30/08/2005,31/08/2005,189
