,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
26,31/12/2017,"R$ 36,92 B","R$ 3,60 B","R$ 1,10 B","- R$ 2,09 B","R$ 3,19 B","- R$ 359,36 M","- R$ 0,21",13
27,30/09/2017,"R$ 35,72 B","R$ 3,09 B","- R$ 592,35 M","- R$ 2,24 B","R$ 1,65 B","- R$ 2,04 B","- R$ 1,19",13
28,30/06/2017,"R$ 34,94 B","R$ 3,16 B","- R$ 579,38 M","- R$ 2,29 B","R$ 1,71 B","- R$ 2,08 B","- R$ 1,21",13
29,31/03/2017,"R$ 36,03 B","R$ 3,30 B","- R$ 630,58 M","- R$ 2,38 B","R$ 1,75 B","- R$ 2,08 B","- R$ 1,21",13
30,31/12/2016,"R$ 37,65 B","R$ 3,46 B","- R$ 1,64 B","- R$ 2,54 B","R$ 899,60 M","- R$ 2,89 B","- R$ 1,68",13
31,30/09/2016,"R$ 39,48 B","R$ 3,73 B","- R$ 1,76 B","- R$ 2,57 B","R$ 810,08 M","- R$ 2,98 B","- R$ 1,73",13
32,30/06/2016,"R$ 42,71 B","R$ 3,89 B","- R$ 3,63 B","- R$ 2,68 B","- R$ 951,97 M","- R$ 5,02 B","- R$ 2,92",13
33,31/03/2016,"R$ 43,22 B","R$ 3,99 B","- R$ 3,50 B","- R$ 2,69 B","- R$ 813,90 M","- R$ 4,84 B","- R$ 2,81",13
34,31/12/2015,"R$ 43,58 B","R$ 4,29 B","- R$ 3,22 B","- R$ 2,61 B","- R$ 607,60 M","- R$ 4,55 B","- R$ 2,65",13
35,30/09/2015,"R$ 43,98 B","R$ 4,79 B","R$ 715,85 M","- R$ 2,49 B","R$ 3,21 B","- R$ 997,29 M","- R$ 0,58",13
36,30/06/2015,"R$ 42,76 B","R$ 4,85 B","R$ 2,66 B","- R$ 2,38 B","R$ 5,03 B","R$ 1,20 B","R$ 0,70",13
37,31/03/2015,"R$ 42,44 B","R$ 4,94 B","R$ 2,73 B","- R$ 2,29 B","R$ 5,02 B","R$ 1,30 B","R$ 0,76",13
38,31/12/2014,"R$ 42,55 B","R$ 5,14 B","R$ 2,90 B","- R$ 2,23 B","R$ 5,13 B","R$ 1,40 B","R$ 0,82",13
39,30/09/2014,"R$ 42,02 B","R$ 5,20 B","R$ 2,76 B","- R$ 2,20 B","R$ 4,96 B","R$ 1,46 B","R$ 0,85",13
40,30/06/2014,"R$ 41,81 B","R$ 5,46 B","R$ 2,98 B","- R$ 2,17 B","R$ 5,15 B","R$ 1,80 B","R$ 1,05",13
41,31/03/2014,"R$ 41,25 B","R$ 5,54 B","R$ 3,07 B","- R$ 2,11 B","R$ 5,17 B","R$ 1,83 B","R$ 1,07",13
42,31/12/2013,"R$ 39,86 B","R$ 5,13 B","R$ 2,75 B","- R$ 2,03 B","R$ 4,78 B","R$ 1,58 B","R$ 0,92",13
43,30/09/2013,"R$ 38,53 B","R$ 4,80 B","R$ 2,37 B","- R$ 1,93 B","R$ 4,31 B","R$ 1,26 B","R$ 0,74",13
44,30/06/2013,"R$ 37,85 B","R$ 4,47 B","R$ 2,05 B","- R$ 1,87 B","R$ 3,92 B","R$ 1,06 B","R$ 0,62",13
45,31/03/2013,"R$ 37,95 B","R$ 4,55 B","R$ 2,12 B","- R$ 1,85 B","R$ 3,97 B","R$ 1,20 B","R$ 0,70",13
46,31/12/2012,"R$ 37,98 B","R$ 4,75 B","R$ 2,35 B","- R$ 1,83 B","R$ 4,18 B","R$ 1,43 B","R$ 0,83",13
47,30/09/2012,"R$ 38,06 B","R$ 4,93 B","R$ 2,49 B","- R$ 1,82 B","R$ 4,31 B","R$ 1,73 B","R$ 1,01",13
48,30/06/2012,"R$ 37,21 B","R$ 5,07 B","R$ 2,70 B","- R$ 1,79 B","R$ 4,49 B","R$ 2,05 B","R$ 1,19",13
49,31/03/2012,"R$ 36,24 B","R$ 5,05 B","R$ 2,79 B","- R$ 1,76 B","R$ 4,56 B","R$ 1,98 B","R$ 1,15",13
50,31/12/2011,"R$ 35,41 B","R$ 5,11 B","R$ 2,88 B","- R$ 1,77 B","R$ 4,65 B","R$ 2,01 B","R$ 1,17",13
51,30/09/2011,"R$ 34,14 B","R$ 4,86 B","R$ 2,98 B","- R$ 1,79 B","R$ 4,78 B","R$ 1,94 B","R$ 1,13",13
52,30/06/2011,"R$ 33,36 B","R$ 4,87 B","R$ 2,99 B","- R$ 1,84 B","R$ 4,83 B","R$ 1,76 B","R$ 1,03",13
53,31/03/2011,"R$ 32,65 B","R$ 5,28 B","R$ 3,36 B","- R$ 1,88 B","R$ 5,24 B","R$ 2,03 B","R$ 1,34",13
54,31/12/2010,"R$ 31,39 B","R$ 5,52 B","R$ 3,64 B","- R$ 1,89 B","R$ 5,54 B","R$ 2,14 B","R$ 1,41",13
55,30/09/2010,"R$ 29,96 B","R$ 6,05 B","R$ 3,79 B",,,"R$ 2,52 B","R$ 1,76",13
56,30/06/2010,"R$ 28,57 B","R$ 6,15 B","R$ 3,84 B",,,"R$ 2,54 B","R$ 1,77",13
57,31/03/2010,"R$ 26,68 B","R$ 5,10 B","R$ 1,66 B",,,"R$ 1,54 B","R$ 1,07",13
58,31/12/2009,"R$ 26,54 B","R$ 4,43 B","R$ 846,89 M",,,"R$ 1,12 B","R$ 0,78",13
59,30/09/2009,"R$ 0,00","R$ 0,00","R$ 663,84 M",,,"R$ 407,46 M","R$ 0,28",13
60,30/06/2009,"R$ 0,00","R$ 0,00","R$ 979,07 M",,,"R$ 558,22 M","R$ 0,39",13
61,31/03/2009,"R$ 0,00","R$ 0,00","R$ 1,91 B",,,"R$ 2,22 B","R$ 1,55",13
62,31/12/2008,"R$ 0,00","R$ 0,00","R$ 2,56 B",,,"R$ 2,88 B","R$ 2,01",13
63,30/09/2008,"R$ 0,00","R$ 0,00","R$ 2,81 B",,,"R$ 2,71 B","R$ 1,89",13
64,30/06/2008,"R$ 0,00","R$ 0,00","R$ 2,80 B",,,"R$ 2,80 B","R$ 1,96",13
65,31/03/2008,"R$ 0,00","R$ 0,00","R$ 2,44 B",,,"R$ 2,42 B","R$ 3,62",13
66,31/12/2007,"R$ 0,00","R$ 0,00","R$ 2,26 B",,,"R$ 2,29 B","R$ 3,43",13
67,30/09/2007,"R$ 0,00","R$ 0,00","R$ 2,54 B",,,"R$ 2,59 B","R$ 3,88",13
68,30/06/2007,"R$ 25,20 B","R$ 6,71 B","R$ 3,87 B",,,"R$ 2,75 B","R$ 4,12",13
69,31/03/2007,"R$ 24,39 B","R$ 6,66 B","R$ 4,14 B",,,"R$ 2,89 B","R$ 4,33",13
70,31/12/2006,"R$ 23,52 B","R$ 6,50 B","R$ 4,01 B",,,"R$ 2,88 B","R$ 4,32",13
71,30/09/2006,"R$ 22,47 B","R$ 6,27 B","R$ 4,32 B",,,"R$ 2,84 B","R$ 4,25",13
72,30/06/2006,"R$ 21,49 B","R$ 5,84 B","R$ 3,92 B",,,"R$ 2,82 B","R$ 4,22",13
73,31/03/2006,"R$ 21,03 B","R$ 5,59 B","R$ 3,86 B",,,"R$ 2,77 B","R$ 6,22",13
74,31/12/2005,"R$ 21,25 B","R$ 5,73 B","R$ 4,36 B",,,"R$ 2,78 B","R$ 6,25",13
75,30/09/2005,"R$ 21,25 B","R$ 5,92 B","R$ 4,35 B",,,"R$ 2,77 B","R$ 6,23",13
76,30/06/2005,"R$ 21,39 B","R$ 6,43 B","R$ 4,87 B",,,"R$ 3,15 B","R$ 7,07",13
77,31/03/2005,"R$ 21,26 B","R$ 6,84 B","R$ 5,16 B",,,"R$ 3,14 B","R$ 10,60",13
78,31/12/2004,"R$ 19,60 B","R$ 6,25 B","R$ 4,61 B",,,"R$ 2,83 B","R$ 9,54",13
79,30/09/2004,"R$ 18,22 B","R$ 5,63 B","R$ 4,04 B",,,"R$ 2,65 B","R$ 8,94",13
80,30/06/2004,"R$ 16,48 B","R$ 4,56 B","R$ 3,25 B",,,"R$ 1,82 B","R$ 6,12",13
81,31/03/2004,"R$ 14,21 B","R$ 3,48 B","R$ 2,06 B",,,"R$ 1,27 B","R$ 8,58",13
82,31/12/2003,"R$ 13,37 B","R$ 3,29 B","R$ 1,79 B",,,"R$ 1,14 B","R$ 7,67",13
83,30/09/2003,"R$ 12,42 B","R$ 3,17 B","R$ 1,46 B",,,"R$ 854,63 M","R$ 5,76",13
84,30/06/2003,"R$ 11,88 B","R$ 3,18 B","R$ 1,97 B",,,"R$ 944,99 M","R$ 6,37",13
85,31/03/2003,"R$ 10,83 B","R$ 2,96 B","R$ 2,18 B",,,"R$ 933,06 M","R$ 0,01",13
86,31/12/2002,"R$ 9,16 B","R$ 2,62 B","R$ 2,00 B",,,"R$ 798,69 M","R$ 0,01",13
87,30/09/2002,"R$ 7,89 B","R$ 2,28 B","R$ 1,87 B",,,"R$ 715,18 M","R$ 0,01",13
88,30/06/2002,"R$ 6,66 B","R$ 1,98 B","R$ 1,30 B",,,"R$ 538,13 M","R$ 0,00",13
89,31/03/2002,"R$ 6,20 B","R$ 1,82 B","R$ 1,06 B",,,"R$ 482,95 M","R$ 0,00",13
90,31/12/2001,"R$ 5,89 B","R$ 1,65 B","R$ 1,07 B",,,"R$ 464,01 M","R$ 0,00",13
91,30/09/2001,"R$ 5,95 B","R$ 1,58 B","R$ 1,26 B",,,"R$ 450,35 M","R$ 0,00",13
92,30/06/2001,"R$ 5,54 B","R$ 1,40 B","R$ 987,13 M",,,"R$ 409,07 M","R$ 0,00",13
93,31/03/2001,"R$ 2,85 B","R$ 909,31 M","R$ 727,21 M",,,"R$ 377,35 M","R$ 0,00",13
94,31/12/2000,"R$ 5,20 B","R$ 1,34 B","R$ 854,14 M",,,"R$ 392,94 M","R$ 0,00",13
95,30/09/2000,"R$ 2,66 B","R$ 871,45 M","R$ 577,62 M",,,"R$ 380,35 M","R$ 0,00",13
96,30/06/2000,"R$ 2,51 B","R$ 857,03 M","R$ 631,44 M",,,"R$ 389,81 M","R$ 0,00",13
97,31/03/2000,"R$ 2,35 B","R$ 828,54 M","R$ 590,22 M",,,"R$ 358,27 M","R$ 0,01",13
